region,dep_city,dep_date,dep_time,dep_time_slot,arr_city,arr_time,arr_time_slot,duration,nb_changes,train_name_1,train_name_2,standard_class_price,first_class_price
0,Paris,22-01-23,7:44,1,Nantes,11:54,1,15000,1,Ouigo,TGV Inoui,38,41
0,Paris,22-01-23,8:00,1,Nantes,12:54,2,17640,1,BlablacarBus,TGV Inoui,30.99,33.99
0,Paris,22-01-23,8:00,1,Nantes,15:52,2,28320,1,BlablacarBus,SNCF,25.99,47.39
0,Paris,22-01-23,8:43,1,Nantes,11:52,1,11340,1,TGV Inoui,SNCF,57,82.4
0,Paris,22-01-23,9:39,1,Nantes,11:54,1,8100,0,TGV Inoui,,35,39
0,Paris,22-01-23,9:39,1,Nantes,12:54,2,11700,1,TGV Inoui,TGV Inoui,48,53
0,Paris,22-01-23,9:57,1,Nantes,14:50,2,17580,2,TGV Inoui,TGV Inoui,104.4,112.8
0,Paris,22-01-23,10:00,1,Nantes,16:44,3,24240,2,BlablacarBus,SNCF,25.99,47.39
0,Paris,22-01-23,10:30,1,Nantes,15:54,2,19440,1,BlablacarBus,TGV Inoui,45.99,47.99
0,Paris,22-01-23,10:30,1,Nantes,17:01,3,23460,1,BlablacarBus,Ouigo Classique,34.99,0
0,Paris,22-01-23,10:39,1,Nantes,12:54,2,8100,0,TGV Inoui,,35,42
0,Paris,22-01-23,10:39,1,Nantes,14:44,2,14700,2,TGV Inoui,SNCF,55.7,74.3
0,Paris,22-01-23,10:56,1,Nantes,15:52,2,17760,1,TGV Inoui,SNCF,113,173.4
0,Paris,22-01-23,11:06,1,Nantes,14:50,2,13440,1,SNCF,TGV Inoui,57.8,60.8
0,Paris,22-01-23,11:30,1,Nantes,18:55,3,26700,2,BlablacarBus,SNCF,37.99,59.39
0,Paris,22-01-23,12:42,2,Nantes,17:01,3,15540,0,Ouigo Classique,,30,0
0,Paris,22-01-23,12:47,2,Nantes,15:54,2,11220,1,Ouigo,TGV Inoui,82,84
0,Paris,22-01-23,12:47,2,Nantes,16:44,3,14220,2,Ouigo,SNCF,93,114.4
0,Paris,22-01-23,12:47,2,Nantes,17:01,3,15240,1,Ouigo,Ouigo Classique,71,0
0,Paris,22-01-23,12:52,2,Nantes,14:54,2,7320,0,TGV Inoui,,75,99
0,Paris,22-01-23,13:35,2,Nantes,15:54,2,8340,0,TGV Inoui,,95,99
0,Paris,22-01-23,13:35,2,Nantes,17:01,3,12360,1,TGV Inoui,Ouigo Classique,86,88
0,Paris,22-01-23,13:35,2,Nantes,18:15,3,16800,2,TGV Inoui,SNCF,84,112.2
0,Paris,22-01-23,13:56,2,Nantes,18:15,3,15540,1,TGV Inoui,SNCF,104,129.4
0,Paris,22-01-23,14:40,2,Nantes,19:50,3,18600,1,BlablacarBus,SNCF,51.99,67.99
0,Paris,22-01-23,14:41,2,Nantes,18:55,3,15240,2,TGV Inoui,SNCF,113,152.4
0,Paris,22-01-23,14:48,2,Nantes,16:53,3,7500,0,TGV Inoui,,95,113
0,Paris,22-01-23,14:48,2,Nantes,18:54,3,14760,2,TGV Inoui,TGV Inoui,130.3,149.9
0,Paris,22-01-23,15:48,2,Nantes,17:50,3,7320,0,Ouigo,,65,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0,Paris,22-01-23,18:05,3,Nantes,21:54,4,13740,1,SNCF,TGV Inoui,66.3,0
0,Paris,22-01-23,18:11,3,Nantes,22:15,4,14640,0,Ouigo Classique,,30,0
0,Paris,22-01-23,18:51,3,Nantes,20:59,4,7680,0,TGV Inoui,,95,99
0,Paris,22-01-23,19:39,3,Nantes,21:54,4,8100,0,TGV Inoui,,95,113
0,Paris,22-01-23,19:39,3,Nantes,22:11,4,9120,1,TGV Inoui,SNCF,84,120.2
0,Paris,22-01-23,20:52,4,Nantes,22:54,4,7320,0,TGV Inoui,,95,99
0,Paris,22-01-23,21:52,4,Nantes,23:54,4,7320,0,TGV Inoui,,95,99
0,Paris,22-01-23,23:00,4,Nantes,7:44,1,31440,2,BlablacarBus,SNCF,31.99,0
0,Paris,22-01-23,23:59,4,Nantes,8:52,1,31980,2,TGV Inoui,SNCF,70,104.7
0,Paris,23-01-23,6:32,1,Nantes,8:54,1,8520,0,TGV Inoui,,42,66
0,Paris,23-01-23,6:48,1,Nantes,9:52,1,11040,1,Ouigo,SNCF,37,58.4
0,Paris,23-01-23,6:59,1,Nantes,9:52,1,10380,1,TGV Inoui,SNCF,81,179.4
0,Paris,23-01-23,7:00,1,Nantes,13:52,2,24720,1,BlablacarBus,SNCF,25.99,47.39
0,Paris,23-01-23,7:18,1,Nantes,11:02,1,13440,0,Ouigo Classique,,13,0
0,Paris,23-01-23,7:23,1,Nantes,9:20,1,7020,0,TGV Inoui,,35,39
0,Paris,23-01-23,7:44,1,Nantes,9:59,1,8100,0,Ouigo,,22,0
0,Paris,23-01-23,7:48,1,Nantes,9:54,1,7560,0,TGV Inoui,,95,99
0,Paris,23-01-23,8:43,1,Nantes,12:52,2,14940,1,TGV Inoui,SNCF,86,120.4
0,Paris,23-01-23,9:39,1,Nantes,11:54,1,8100,0,TGV Inoui,,54,58
0,Paris,23-01-23,10:39,1,Nantes,12:54,2,8100,0,TGV Inoui,,95,134
0,Paris,23-01-23,10:56,1,Nantes,13:52,2,10560,1,TGV Inoui,SNCF,86,159.4
0,Paris,23-01-23,11:30,1,Nantes,17:52,3,22920,1,BlablacarBus,SNCF,31.99,0
0,Paris,23-01-23,12:23,2,Nantes,14:19,2,6960,0,TGV Inoui,,35,50
0,Paris,23-01-23,12:41,2,Nantes,17:01,3,15600,0,Ouigo Classique,,19,0
0,Paris,23-01-23,12:47,2,Nantes,17:17,3,16200,1,Ouigo,SNCF,57,78.4
0,Paris,23-01-23,12:52,2,Nantes,14:54,2,7320,0,TGV Inoui,,46,79
0,Paris,23-01-23,12:59,2,Nantes,17:17,3,15480,1,TGV Inoui,SNCF,69,102.4
0,Paris,23-01-23,13:35,2,Nantes,15:54,2,8340,0,TGV Inoui,,46,106
0,Paris,23-01-23,14:43,2,Nantes,17:52,3,11340,1,TGV Inoui,SNCF,95,124
0,Paris,23-01-23,15:39,2,Nantes,17:54,3,8100,0,TGV Inoui,,46,50
0,Paris,23-01-23,16:39,3,Nantes,18:54,3,8100,0,TGV Inoui,,50,106
0,Paris,23-01-23,16:56,3,Nantes,19:53,3,10620,1,TGV Inoui,SNCF,77,120.4
0,Paris,23-01-23,17:23,3,Nantes,19:20,3,7020,0,TGV Inoui,,50,54
0,Paris,23-01-23,17:51,3,Nantes,19:54,3,7380,0,TGV Inoui,,95,120
0,Paris,23-01-23,17:59,3,Nantes,20:52,4,10380,1,TGV Inoui,SNCF,77,0
0,Paris,23-01-23,18:11,3,Nantes,22:15,4,14640,0,Ouigo Classique,,16,0
0,Paris,23-01-23,18:11,3,Nantes,23:09,4,17880,1,Ouigo Classique,TGV Inoui,36,38
0,Paris,23-01-23,18:23,3,Nantes,20:19,4,6960,0,TGV Inoui,,46,79
0,Paris,23-01-23,18:51,3,Nantes,20:59,4,7680,0,TGV Inoui,,35,0
0,Paris,23-01-23,18:51,3,Nantes,20:59,4,7680,0,TGV Inoui,,46,50
